Name,Online_Order,Book_Table,Ratings,Dish_Liked,Approx_Cost(For Two People)
Jalsa,Yes,Yes,4.1,"Pasta, Lunch Buffet, Masala Papad, Paneer Lajawab, Tomato Shorba, Dum Biryani, Sweet Corn Soup",800
Spice Elephant,Yes,No,4.1,"Momos, Lunch Buffet, Chocolate Nirvana, Thai Green Curry, Paneer Tikka, Dum Biryani, Chicken Biryani",800
San Churro Cafe,Yes,No,3.8,"Churros, Cannelloni, Minestrone Soup, Hot Chocolate, Pink Sauce Pasta, Salsa, Veg Supreme Pizza",800
Addhuri Udupi Bhojana,No,No,3.7,Masala Dosa,300
Grand Village,No,No,3.8,"Panipuri, Gol Gappe",600
Timepass Dinner,Yes,No,3.8,"Onion Rings, Pasta, Kadhai Paneer, Salads, Salad, Roti, Jeera Rice",600
Rosewood International Hotel - Bar & Restaurant,No,No,3.6,Unknown,800
Onesta,Yes,Yes,4.6,"Farmhouse Pizza, Chocolate Banana, Virgin Mojito, Pasta, Paneer Tikka, Lime Soda, Prawn Pizza",600
Penthouse Cafe,Yes,No,4.0,"Pizza, Mocktails, Coffee, Nachos, Salad, Pasta, Sandwiches",700
Smacznego,Yes,No,4.2,"Waffles, Pasta, Coleslaw Sandwich, Choco Waffle, Tacos, Momos, Cheese Nachos",550
Caf Down The Alley,Yes,No,4.1,"Waffles, Pasta, Crispy Chicken, Honey Chilli Chicken, Sandwich, Coffee, Crepe",500
Cafe Shuffle,Yes,Yes,4.2,"Mocktails, Peri Fries, Lasagne, Pizza, Chicken Bbq Wings, Virgin Mojito, Nachos",600
The Coffee Shack,Yes,Yes,4.2,"Coffee, Spaghetti, Pancakes, Nachos, Pasta, Sandwich, Garlic Bread",500
Caf-Eleven,No,No,4.0,"Sandwich, Omelette, Ice Tea, Virgin Mojito, Hot Chocolate, Pasta Arrabiata, Hazelnut Cappuccino",450
Cafe Vivacity,Yes,No,3.8,"Garlic Bread, Burgers, Sandwiches, Pizza, Hot Chocolate Fudge, Waffles, Potato Wedges",650
Catch-up-ino,Yes,No,3.9,"Momos, Mushroom Bruschettas, Jalapeno Cheeseballs, Pasta, Red Velvet Shake, Red Velvet Milkshake, Maggi",800
Kirthi's Biryani,Yes,No,3.8,"Pasta, Gelato, Garlic Bread, Mojito, Nachos, Paneer Pizza, Mocktails",700
T3H Cafe,No,No,3.9,"Cheese Maggi, Peri Peri Fries, Pasta Arrabiata",300
360 Atoms Restaurant And Cafe,Yes,No,3.1,Unknown,400
The Vintage Cafe,Yes,No,3.0,"Burgers, Caramel Milkshake, Iced Coffee, Iced Tea",400
Woodee Pizza,Yes,No,3.7,"Pizza, Garlic Bread",500
Cafe Coffee Day,No,No,3.6,Cappuccino,900
My Tea House,Yes,No,3.6,"Pasta, Iced Tea",600
Hide Out Cafe,No,No,3.7,Unknown,300
CAFE NOVA,No,No,3.2,Unknown,600
Coffee Tindi,Yes,No,3.8,Unknown,200
Sea Green Cafe,No,No,3.3,Unknown,500
Cuppa,No,No,3.3,"Coffee, Potato Wedges, Tea",550
Srinathji's Cafe,No,No,3.8,"Paratha, Sandwich, Chilli Idli, Noodles, Sandwiches, Lime Soda",550
Redberrys,Yes,No,4.0,"Pizza, Fries, Anjeer Ice Cream, Sandwiches, Gelato, Burgers, Kesar Badam",600
Foodiction,Yes,No,2.8,"Burgers, Lassi, Chicken Grill, Naan, Momos, Chicken Burger, Biryani",500
Sweet Truth,Yes,No,3.9,"Cheesecake, Chocolate Decadence, Chocolate Fantasy, Chocolate Cake, Pancakes, Lava Cake, Chocolava Cake",500
Ovenstory Pizza,Yes,No,3.9,"Paneer Tikka, Garlic Bread, Thin Crust Pizza, Falafel, Veggie Pizza",750
Faasos,Yes,No,4.2,"Rolls, Veggie Wrap, Chocolate Fantasy, Rice Bowls, Chicken Rice, Paneer Makhanwala, Chicken Tikka Wrap",500
Behrouz Biryani,Yes,No,3.9,"Raita, Gulab Jamun, Paneer Biryani, Vegetable Biryani, Gosht Dum Biryani, Chicken Biryani, Murgh Biryani",650
Fast And Fresh,Yes,No,2.8,Unknown,400
Szechuan Dragon,Yes,No,4.2,"Noodles, Momos, Veg Manchow Soup, Kung Pao Chicken, Chicken Lollipop, Chop Suey, Dragon Chicken",600
Empire Restaurant,Yes,No,4.4,"Chicken Tikka Masala, Mutton Keema Dosa, Mutton Biryani, Raan Biryani, Brain Fry, Chicken Grill, Ghee Rice",750
Maruthi Davangere Benne Dosa,Yes,No,4.0,Unknown,150
Chaatimes,Yes,No,3.8,"Dabeli, Faluda, Masala Poori, Sandwiches, Tokri Chaat, Pav Bhaji, Dahipuri",200
Havyaka Mess,No,No,3.9,Unknown,300
McDonald's,Yes,No,3.9,"Burgers, Fries, Hot Chocolate",500
Domino's Pizza,Yes,No,3.9,"Pane Pizza, Lava Cake, Pasta, Stuffed Garlic Bread, Chocolava Cake, Tacos",800
Hotboxit,No,No,3.8,Prompt Service,400
Kitchen Garden,Yes,No,3.6,Biryani,300
Recipe,Yes,No,4.0,"Butter Chicken, Noodles, Thali, Biryani",450
Beijing Bites,Yes,No,3.7,"Momos, Dragon Chicken, Hakka Noodles, Chowmein, Chop Suey, Chilli Garlic Noodles, Garlic Rice",850
Tasty Bytes,Yes,No,3.1,"Paratha, Pasta",300
Petoo,No,No,3.7,"Gulab Jamun, Samosa, Paratha, Paneer Curry, Biryani, Chaat, Veg Cutlet",450
Shree Cool Point,Yes,No,4.1,Unknown,150
Corner House Ice Cream,No,No,4.3,"Hot Chocolate Fudge, Vanilla Ice Cream, Fudge Cake, Chocolate Mousse",400
Biryanis And More,Yes,No,4.0,"Prawn Biryani, Dragon Chicken, Chicken Boneless Biryani, Afghani Biryani, Mughlai Biryani, Paneer Tikka Biryani, Gongura Biryani",750
Roving Feast,No,No,4.0,"Pasta, Momos, Rolls, Chicken Roll, Chilli Chicken, Paneer Roll, Spaghetti",450
FreshMenu,Yes,No,3.9,"Salads, Sandwiches, Salad, Thai Rice, Pasta, Noodles, Pizza",450
Banashankari Donne Biriyani,Yes,No,3.8,Unknown,300
Wamama,Yes,Yes,4.2,"Sushi, Noodles, Wine, Khau Suey, Mocktails, Yakisoba, Spring Roll",800
Five Star Chicken,No,No,3.6,"Burgers, Masala Fries, Wings",200
XO Belgian Waffle,Yes,No,3.7,"Hot Chocolate, Chocolate Overload, Belgian Waffles, Nutella Waffle, Thick Shakes, Caramel Coffee, Vanilla Ice Cream",400
